verified,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean
0,0,0,0,8,18,3,308,421,776800,776800.0
0,0,0,0,10,11,5,2491,2765,5100000,5100000.0
0,0,0,0,10,19,2,157,161,141500,141500.0
0,0,0,0,11,19,6,105,64,49600,49600.0
0,0,0,0,13,13,7,0,15,11300,11300.0
0,0,0,0,15,5,4,16,318,154100,154100.0
0,0,0,0,15,7,4,38,68,86800,86800.0
0,0,0,0,15,9,5,44,5,44500,44500.0
0,0,0,0,15,14,4,50,68,44800,44800.0
0,0,0,0,15,16,7,289,358,50100,50100.0
0,0,0,0,15,18,4,8,117,57400,57400.0
0,0,0,0,15,18,5,27,36,71000,71000.0
0,0,0,0,17,19,4,0,27,61300,61300.0
0,0,0,0,20,1,1,9077,713,3500000,3500000.0
0,0,0,0,21,17,6,11,42,81600,81600.0
0,0,0,0,46,19,7,22,14,60800,60800.0
0,0,0,1,9,16,2,383,1108,762500,762500.0
0,0,0,1,15,14,3,220,64,143000,143000.0
0,0,0,1,26,18,7,1972,1578,430100,430100.0
0,0,0,1,31,12,7,5,29,98700,98700.0
0,0,0,1,44,23,1,991,148,139900,139900.0
0,0,1,0,10,19,3,94,68,114000,114000.0
0,0,1,0,10,20,2,117,91,113300,113300.0
0,0,1,0,12,17,1,93,297,86200,86200.0
0,0,1,0,13,2,1,68,75,43900,43900.0
0,0,1,0,13,4,7,6,36,48600,48600.0
0,0,1,0,13,10,4,28,221,26800,26800.0
0,0,1,0,13,15,3,441,13,64300,64300.0
0,0,1,0,13,15,4,40,59,45400,45400.0
0,0,1,0,13,16,7,313,195,109200,109200.0
0,0,1,0,13,18,7,1,27,34500,34500.0
0,0,1,0,13,19,5,57,68,62900,62900.0
0,0,1,0,13,21,4,2014,52,133100,133100.0
0,0,1,0,13,22,4,260,232,97000,97000.0
0,0,1,0,13,23,2,46,20,37700,37700.0
0,0,1,0,13,23,3,171,129,52500,52500.0
0,0,1,0,18,14,5,10900,5260,2400000,2400000.0
0,0,1,0,21,22,2,984,763,551800,551800.0
0,0,1,0,29,12,4,30600,1960,12900000,12900000.0
0,0,1,0,59,22,3,516,168,76600,76600.0
0,0,1,1,12,11,2,54,38,58400,58400.0
0,0,1,1,15,20,3,857,1342,1200000,1200000.0
