verified,diggCount,musicOriginal,hashtags,mentions,duration,hour,dayOfTheWeek,shareCount,commentCount,playCount,count_mean,z_score
0,13,1,0,0,14,19,2,10,0,465,465.0,-0.2617871085657394
0,22,0,11,0,10,18,5,0,2,484,484.0,-0.2617768582281252
0,93,1,6,0,15,9,6,2,2,5377,5377.0,-0.25913712654673887
0,124,1,6,0,10,13,2,1,5,1418,1418.0,-0.26127297321066867
0,142,1,3,0,14,14,3,69,12,1853,1853.0,-0.2610382944284485
0,143,1,0,0,15,13,1,8,4,1084,1084.0,-0.2614531633560974
0,149,1,6,0,11,10,1,62,42,3378,3378.0,-0.26021556996204465
0,154,1,3,0,15,15,3,1,2,3854,3854.0,-0.259958772030236
0,168,1,7,0,15,7,5,8,14,6046,6046.0,-0.258776206764428
0,198,1,6,0,15,6,7,8,4,1896,1896.0,-0.2610150962959532
0,206,1,5,0,15,3,4,0,7,4620,4620.0,-0.2595455215769472
0,208,1,0,0,8,16,7,7,3,49000,49000.0,-0.23560289087596156
0,218,1,17,0,8,13,5,1,18,3313,3313.0,-0.26025063690651434
0,227,1,0,0,11,10,7,0,4,62200,62200.0,-0.22848160369135112
0,247,0,5,0,15,11,6,5,0,51900,51900.0,-0.2340383656611608
0,250,0,9,0,20,15,4,1,1,10600,10600.0,-0.25631936268573735
0,262,1,6,0,19,12,3,22,13,40300,40300.0,-0.2402964665203639
0,274,1,5,1,15,13,7,2,3,3456,3456.0,-0.2601734896286811
0,277,1,13,0,18,11,4,78,5,6893,6893.0,-0.25831925750341544
0,288,1,9,3,15,7,3,9,16,4100,4100.0,-0.2598260571327046
0,307,1,6,0,15,14,2,0,5,977,977.0,-0.26151088894160907
0,368,1,4,0,20,13,7,1,13,5189,5189.0,-0.2592385509399743
0,379,1,7,1,12,16,5,97,192,20200,20200.0,-0.2511402447332934
0,389,1,3,1,5,18,2,0,19,22000,22000.0,-0.2501691601172102
0,391,1,9,0,14,14,3,2,10,40500,40500.0,-0.24018856822968798
0,393,1,1,0,9,13,7,2,52,11400,11400.0,-0.2558877695230337
0,428,1,0,0,12,23,3,0,4,8916,8916.0,-0.2572278662932286
0,441,0,3,0,7,19,2,15,7,58900,58900.0,-0.23026192548750374
0,447,1,13,0,16,18,1,10,75,26200,26200.0,-0.24790329601301594
0,458,1,10,0,14,3,4,3,8,943,943.0,-0.26152923165102393
0,498,0,4,0,7,1,2,8,329,31700,31700.0,-0.24493609301942826
0,499,0,10,0,5,3,1,1,12,28100,28100.0,-0.24687826225159473
0,499,1,0,0,11,2,3,1,12,15300,15300.0,-0.25378375285485333
0,507,1,1,0,54,9,5,0,23,7037,7037.0,-0.2582415707341288
0,513,1,4,0,14,19,5,6,11,65800,65800.0,-0.22653943445918465
0,515,1,1,0,10,13,3,0,18,10300,10300.0,-0.25648121012175124
0,561,1,13,0,15,14,4,5,1090,9843,9843.0,-0.2567277577159457
0,570,1,7,0,6,14,3,0,3,3637,3637.0,-0.26007584167561937
0,572,1,0,0,12,15,3,39,38,5127,5127.0,-0.2592719994100838
0,575,0,4,0,9,20,7,1,8,32800,32800.0,-0.24434265242071074
0,580,0,4,0,7,21,4,256,0,85600,85600.0,-0.215857503682269
0,581,0,2,0,11,21,5,8,8,19900,19900.0,-0.25130209216930727
0,586,1,0,0,15,16,7,4,8,8766,8766.0,-0.2573087900112355
0,587,1,4,1,5,18,6,3,19,52100,52100.0,-0.23393046737048487
0,613,1,9,0,8,16,1,4,54,20400,20400.0,-0.2510323464426175
0,617,1,6,1,24,20,2,2,36,33600,33600.0,-0.24391105925800707
0,640,1,12,0,39,14,1,20,15,27500,27500.0,-0.2472019571236225
0,643,1,9,0,7,13,7,1,61,11900,11900.0,-0.2556180237963439
0,646,0,1,0,13,18,7,1,27,34500,34500.0,-0.24342551694996545
0,651,0,0,0,21,17,6,11,42,81600,81600.0,-0.21801546949578732
0,657,1,3,0,8,19,3,42,11,43600,43600.0,-0.2385161447242113
0,678,1,4,0,42,17,5,39,329,27700,27700.0,-0.24709405883294658
0,689,1,5,0,8,21,3,3,36,14900,14900.0,-0.2539995494362052
0,700,1,5,0,9,1,4,8,68,35800,35800.0,-0.242724178060572
0,712,0,9,0,60,13,5,5,24,6458,6458.0,-0.25855393628563555
0,712,1,5,0,7,9,1,11,4,31900,31900.0,-0.24482819472875234
0,720,0,0,0,13,13,7,0,15,11300,11300.0,-0.2559417186683717
0,732,1,10,0,15,15,4,10,1206,23200,23200.0,-0.24952177037315468
0,734,0,12,0,15,16,2,1,54,8071,8071.0,-0.2576837365713343
0,738,1,6,0,10,15,5,48,19,37700,37700.0,-0.2416991442991508
0,798,1,1,1,5,11,6,6,16,35900,35900.0,-0.24267022891523404
0,801,0,4,0,14,8,5,15,34,8223,8223.0,-0.2576017338704206
0,802,1,1,0,10,14,5,0,33,45300,45300.0,-0.237599009253466
0,810,1,1,1,15,14,3,9,8,50500,50500.0,-0.2347936536958922
0,826,1,0,0,8,13,7,0,5,16400,16400.0,-0.2531903122561358
0,831,1,8,1,35,19,3,10,37,6599,6599.0,-0.25847786799070904
0,833,1,2,2,15,10,7,2,6,9373,9373.0,-0.2569813186990341
0,837,1,14,0,9,19,3,1,13,49600,49600.0,-0.23527919600393382
0,886,1,8,0,15,14,2,85,87,36700,36700.0,-0.24223863575253038
0,890,1,0,0,15,5,3,1,2,32000,32000.0,-0.2447742455834144
0,893,1,0,1,13,13,3,1,18,35900,35900.0,-0.24267022891523404
0,899,1,3,1,8,19,6,7,88,35900,35900.0,-0.24267022891523404
0,937,0,2,0,13,18,6,6,26,44600,44600.0,-0.2379766532708317
0,937,1,1,1,15,20,1,6,12,27200,27200.0,-0.24736380455963636
0,971,1,14,0,18,20,4,9,11,79000,79000.0,-0.21941814727457423
0,988,1,3,0,15,1,7,45,14,65200,65200.0,-0.2268631293312124
0,1016,0,3,0,13,20,7,19,31,56700,56700.0,-0.2314488066849388
0,1018,1,5,0,30,20,6,2,13,10900,10900.0,-0.25615751524972347
0,1051,1,6,0,6,18,4,25,218,35200,35200.0,-0.24304787293259975
0,1055,1,2,0,19,13,3,7,4,22200,22200.0,-0.25006126182653426
0,1086,0,1,0,13,4,7,6,36,48600,48600.0,-0.23581868745731338
0,1086,1,4,0,9,17,6,13,7,27900,27900.0,-0.24698616054227066
0,1086,1,7,0,15,15,2,32,29,48000,48000.0,-0.23614238232934115
0,1089,1,2,0,8,19,2,10,6,32300,32300.0,-0.24461239814740052
0,1090,1,14,0,8,16,2,7,50,10100,10100.0,-0.25658910841242716
0,1091,1,0,0,41,7,2,122,15,9247,9247.0,-0.2570492946221599
0,1100,1,11,0,14,3,6,14,63,30100,30100.0,-0.2457992793448356
0,1105,1,10,0,11,20,2,39,85,6792,6792.0,-0.2583737461402068
0,1106,1,4,3,54,21,7,70,80,22500,22500.0,-0.24989941439052038
0,1112,1,0,0,28,22,3,291,107,69700,69700.0,-0.2244354177910043
0,1116,1,8,1,41,15,2,23,123,12200,12200.0,-0.25545617636033
0,1125,1,2,0,22,18,4,35,16,9725,9725.0,-0.2567914177074445
0,1176,0,5,1,15,13,7,6,35,80600,80600.0,-0.2185549609491669
0,1188,1,6,1,15,8,5,1,8,31300,31300.0,-0.2451518896007801
0,1194,1,11,0,15,18,2,1,8,7090,7090.0,-0.25821297768709967
0,1222,0,9,0,10,12,6,7,25,9282,9282.0,-0.25703041242129165
0,1236,1,8,0,12,19,1,4,0,13700,13700.0,-0.25464693918026066
0,1242,1,3,0,13,19,7,32,104,62900,62900.0,-0.22810395967398542
0,1246,1,3,0,13,15,1,94,65,46000,46000.0,-0.2372213652361003
0,1251,1,5,0,9,11,5,46,27,50400,50400.0,-0.23484760284123016
0,1257,1,0,0,25,16,5,5,4,19300,19300.0,-0.25162578704133504
0,1269,0,3,0,7,16,5,10,29,226500,226500.0,-0.13984315790108645
0,1269,1,1,0,10,17,3,29,10,259400,259400.0,-0.12209388908489835
0,1283,0,5,0,6,10,1,36,116,59400,59400.0,-0.22999217976081396
0,1287,1,0,0,10,9,6,2,55,33700,33700.0,-0.2438571101126691
0,1319,1,13,0,18,19,4,7,14,25800,25800.0,-0.24811909259436776
0,1325,0,0,0,15,18,4,8,117,57400,57400.0,-0.2310711626675731
0,1334,1,6,0,8,0,4,6,23,9315,9315.0,-0.25701260920333013
0,1335,0,7,0,23,9,2,1,32,12800,12800.0,-0.2551324814883023
0,1338,1,0,0,14,0,5,61,13,10600,10600.0,-0.25631936268573735
0,1339,0,4,0,59,12,2,128,43,16900,16900.0,-0.252920566529446
0,1339,1,0,0,11,21,2,31,26,28200,28200.0,-0.2468243131062568
